path,first_correct_step
/home/projects/bagon/shared/imagenet512/val/n04039381/ILSVRC2012_val_00037671.JPEG,58
/home/projects/bagon/shared/imagenet512/val/n04086273/ILSVRC2012_val_00012865.JPEG,60
/home/projects/bagon/shared/imagenet512/val/n04525305/ILSVRC2012_val_00033818.JPEG,126
/home/projects/bagon/shared/imagenet512/val/n03908714/ILSVRC2012_val_00030805.JPEG,48
/home/projects/bagon/shared/imagenet512/val/n02115913/ILSVRC2012_val_00008592.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n03786901/ILSVRC2012_val_00028780.JPEG,110
/home/projects/bagon/shared/imagenet512/val/n02096051/ILSVRC2012_val_00027860.JPEG,100
/home/projects/bagon/shared/imagenet512/val/n02111277/ILSVRC2012_val_00002882.JPEG,88
/home/projects/bagon/shared/imagenet512/val/n02328150/ILSVRC2012_val_00029874.JPEG,29
/home/projects/bagon/shared/imagenet512/val/n02112706/ILSVRC2012_val_00008433.JPEG,107
/home/projects/bagon/shared/imagenet512/val/n04428191/ILSVRC2012_val_00038305.JPEG,42
/home/projects/bagon/shared/imagenet512/val/n04116512/ILSVRC2012_val_00019486.JPEG,75
/home/projects/bagon/shared/imagenet512/val/n03944341/ILSVRC2012_val_00044025.JPEG,37
/home/projects/bagon/shared/imagenet512/val/n02667093/ILSVRC2012_val_00041090.JPEG,44
/home/projects/bagon/shared/imagenet512/val/n04259630/ILSVRC2012_val_00006089.JPEG,124
/home/projects/bagon/shared/imagenet512/val/n03729826/ILSVRC2012_val_00041898.JPEG,53
/home/projects/bagon/shared/imagenet512/val/n03538406/ILSVRC2012_val_00014022.JPEG,81
/home/projects/bagon/shared/imagenet512/val/n01943899/ILSVRC2012_val_00019373.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n07745940/ILSVRC2012_val_00022484.JPEG,73
/home/projects/bagon/shared/imagenet512/val/n01616318/ILSVRC2012_val_00006250.JPEG,78
/home/projects/bagon/shared/imagenet512/val/n04162706/ILSVRC2012_val_00029687.JPEG,122
/home/projects/bagon/shared/imagenet512/val/n02051845/ILSVRC2012_val_00043841.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n03876231/ILSVRC2012_val_00012200.JPEG,49
/home/projects/bagon/shared/imagenet512/val/n03379051/ILSVRC2012_val_00030254.JPEG,135
/home/projects/bagon/shared/imagenet512/val/n04136333/ILSVRC2012_val_00030078.JPEG,89
/home/projects/bagon/shared/imagenet512/val/n02526121/ILSVRC2012_val_00044395.JPEG,168
/home/projects/bagon/shared/imagenet512/val/n03843555/ILSVRC2012_val_00041128.JPEG,134
/home/projects/bagon/shared/imagenet512/val/n01685808/ILSVRC2012_val_00020124.JPEG,76
/home/projects/bagon/shared/imagenet512/val/n04367480/ILSVRC2012_val_00001527.JPEG,49
/home/projects/bagon/shared/imagenet512/val/n02111277/ILSVRC2012_val_00001129.JPEG,100
/home/projects/bagon/shared/imagenet512/val/n02085936/ILSVRC2012_val_00010920.JPEG,18
/home/projects/bagon/shared/imagenet512/val/n01860187/ILSVRC2012_val_00040025.JPEG,90
/home/projects/bagon/shared/imagenet512/val/n04584207/ILSVRC2012_val_00029316.JPEG,64
/home/projects/bagon/shared/imagenet512/val/n02110063/ILSVRC2012_val_00026119.JPEG,54
/home/projects/bagon/shared/imagenet512/val/n03085013/ILSVRC2012_val_00038711.JPEG,119
/home/projects/bagon/shared/imagenet512/val/n03803284/ILSVRC2012_val_00030040.JPEG,53
/home/projects/bagon/shared/imagenet512/val/n02219486/ILSVRC2012_val_00045673.JPEG,2
/home/projects/bagon/shared/imagenet512/val/n02018795/ILSVRC2012_val_00008222.JPEG,143
/home/projects/bagon/shared/imagenet512/val/n02883205/ILSVRC2012_val_00047478.JPEG,55
/home/projects/bagon/shared/imagenet512/val/n07693725/ILSVRC2012_val_00017354.JPEG,61
/home/projects/bagon/shared/imagenet512/val/n02085936/ILSVRC2012_val_00002214.JPEG,57
/home/projects/bagon/shared/imagenet512/val/n03944341/ILSVRC2012_val_00044651.JPEG,59
/home/projects/bagon/shared/imagenet512/val/n02134084/ILSVRC2012_val_00030704.JPEG,61
/home/projects/bagon/shared/imagenet512/val/n02701002/ILSVRC2012_val_00025443.JPEG,86
/home/projects/bagon/shared/imagenet512/val/n03372029/ILSVRC2012_val_00028005.JPEG,85
/home/projects/bagon/shared/imagenet512/val/n03272010/ILSVRC2012_val_00021729.JPEG,50
/home/projects/bagon/shared/imagenet512/val/n02085620/ILSVRC2012_val_00040731.JPEG,99
/home/projects/bagon/shared/imagenet512/val/n03895866/ILSVRC2012_val_00012957.JPEG,85
/home/projects/bagon/shared/imagenet512/val/n03637318/ILSVRC2012_val_00035240.JPEG,44
/home/projects/bagon/shared/imagenet512/val/n02134084/ILSVRC2012_val_00001498.JPEG,75
/home/projects/bagon/shared/imagenet512/val/n03782006/ILSVRC2012_val_00049784.JPEG,38
/home/projects/bagon/shared/imagenet512/val/n04228054/ILSVRC2012_val_00040101.JPEG,60
/home/projects/bagon/shared/imagenet512/val/n04505470/ILSVRC2012_val_00037048.JPEG,67
/home/projects/bagon/shared/imagenet512/val/n02017213/ILSVRC2012_val_00043456.JPEG,93
/home/projects/bagon/shared/imagenet512/val/n02137549/ILSVRC2012_val_00041597.JPEG,50
/home/projects/bagon/shared/imagenet512/val/n02860847/ILSVRC2012_val_00048796.JPEG,96
/home/projects/bagon/shared/imagenet512/val/n01728572/ILSVRC2012_val_00008399.JPEG,137
/home/projects/bagon/shared/imagenet512/val/n01990800/ILSVRC2012_val_00038119.JPEG,102
/home/projects/bagon/shared/imagenet512/val/n01739381/ILSVRC2012_val_00024880.JPEG,6
/home/projects/bagon/shared/imagenet512/val/n04252225/ILSVRC2012_val_00048441.JPEG,62
/home/projects/bagon/shared/imagenet512/val/n01742172/ILSVRC2012_val_00042500.JPEG,118
/home/projects/bagon/shared/imagenet512/val/n03649909/ILSVRC2012_val_00022230.JPEG,77
/home/projects/bagon/shared/imagenet512/val/n02782093/ILSVRC2012_val_00046695.JPEG,151
/home/projects/bagon/shared/imagenet512/val/n03733805/ILSVRC2012_val_00005193.JPEG,80
/home/projects/bagon/shared/imagenet512/val/n02089867/ILSVRC2012_val_00045469.JPEG,32
/home/projects/bagon/shared/imagenet512/val/n01872401/ILSVRC2012_val_00026263.JPEG,74
/home/projects/bagon/shared/imagenet512/val/n03388549/ILSVRC2012_val_00048243.JPEG,103
/home/projects/bagon/shared/imagenet512/val/n03032252/ILSVRC2012_val_00042815.JPEG,51
/home/projects/bagon/shared/imagenet512/val/n01514859/ILSVRC2012_val_00028107.JPEG,138
/home/projects/bagon/shared/imagenet512/val/n01829413/ILSVRC2012_val_00003687.JPEG,51
/home/projects/bagon/shared/imagenet512/val/n03417042/ILSVRC2012_val_00002210.JPEG,64
/home/projects/bagon/shared/imagenet512/val/n03476991/ILSVRC2012_val_00004493.JPEG,119
/home/projects/bagon/shared/imagenet512/val/n09472597/ILSVRC2012_val_00038462.JPEG,74
/home/projects/bagon/shared/imagenet512/val/n09468604/ILSVRC2012_val_00037143.JPEG,75
/home/projects/bagon/shared/imagenet512/val/n02410509/ILSVRC2012_val_00034061.JPEG,81
/home/projects/bagon/shared/imagenet512/val/n03424325/ILSVRC2012_val_00009479.JPEG,89
/home/projects/bagon/shared/imagenet512/val/n02317335/ILSVRC2012_val_00043929.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n03424325/ILSVRC2012_val_00031677.JPEG,134
/home/projects/bagon/shared/imagenet512/val/n02028035/ILSVRC2012_val_00024808.JPEG,50
/home/projects/bagon/shared/imagenet512/val/n02328150/ILSVRC2012_val_00014708.JPEG,76
/home/projects/bagon/shared/imagenet512/val/n06794110/ILSVRC2012_val_00014864.JPEG,79
/home/projects/bagon/shared/imagenet512/val/n02606052/ILSVRC2012_val_00000996.JPEG,2
/home/projects/bagon/shared/imagenet512/val/n03530642/ILSVRC2012_val_00037411.JPEG,2
/home/projects/bagon/shared/imagenet512/val/n02106382/ILSVRC2012_val_00019712.JPEG,137
/home/projects/bagon/shared/imagenet512/val/n02112018/ILSVRC2012_val_00005481.JPEG,69
/home/projects/bagon/shared/imagenet512/val/n02793495/ILSVRC2012_val_00012775.JPEG,82
/home/projects/bagon/shared/imagenet512/val/n03314780/ILSVRC2012_val_00013888.JPEG,82
/home/projects/bagon/shared/imagenet512/val/n01955084/ILSVRC2012_val_00009532.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n07880968/ILSVRC2012_val_00016592.JPEG,123
/home/projects/bagon/shared/imagenet512/val/n12267677/ILSVRC2012_val_00028871.JPEG,114
/home/projects/bagon/shared/imagenet512/val/n02114548/ILSVRC2012_val_00018188.JPEG,46
/home/projects/bagon/shared/imagenet512/val/n02111277/ILSVRC2012_val_00046591.JPEG,71
/home/projects/bagon/shared/imagenet512/val/n02321529/ILSVRC2012_val_00035186.JPEG,96
/home/projects/bagon/shared/imagenet512/val/n01770081/ILSVRC2012_val_00030812.JPEG,131
/home/projects/bagon/shared/imagenet512/val/n03657121/ILSVRC2012_val_00033154.JPEG,99
/home/projects/bagon/shared/imagenet512/val/n01737021/ILSVRC2012_val_00034970.JPEG,133
/home/projects/bagon/shared/imagenet512/val/n02980441/ILSVRC2012_val_00018999.JPEG,94
/home/projects/bagon/shared/imagenet512/val/n04479046/ILSVRC2012_val_00017335.JPEG,56
/home/projects/bagon/shared/imagenet512/val/n03970156/ILSVRC2012_val_00022380.JPEG,2
/home/projects/bagon/shared/imagenet512/val/n03598930/ILSVRC2012_val_00022944.JPEG,76
/home/projects/bagon/shared/imagenet512/val/n01688243/ILSVRC2012_val_00029118.JPEG,112
/home/projects/bagon/shared/imagenet512/val/n01910747/ILSVRC2012_val_00034232.JPEG,89
/home/projects/bagon/shared/imagenet512/val/n02317335/ILSVRC2012_val_00027582.JPEG,45
/home/projects/bagon/shared/imagenet512/val/n01770081/ILSVRC2012_val_00008919.JPEG,29
/home/projects/bagon/shared/imagenet512/val/n02814533/ILSVRC2012_val_00006084.JPEG,62
/home/projects/bagon/shared/imagenet512/val/n01644373/ILSVRC2012_val_00043303.JPEG,69
/home/projects/bagon/shared/imagenet512/val/n02514041/ILSVRC2012_val_00034528.JPEG,77
/home/projects/bagon/shared/imagenet512/val/n04023962/ILSVRC2012_val_00029900.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n02132136/ILSVRC2012_val_00048979.JPEG,55
/home/projects/bagon/shared/imagenet512/val/n02870880/ILSVRC2012_val_00018286.JPEG,6
/home/projects/bagon/shared/imagenet512/val/n04067472/ILSVRC2012_val_00004853.JPEG,120
/home/projects/bagon/shared/imagenet512/val/n02843684/ILSVRC2012_val_00027595.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n02504013/ILSVRC2012_val_00020144.JPEG,146
/home/projects/bagon/shared/imagenet512/val/n03063599/ILSVRC2012_val_00043571.JPEG,8
/home/projects/bagon/shared/imagenet512/val/n02099601/ILSVRC2012_val_00021654.JPEG,128
/home/projects/bagon/shared/imagenet512/val/n02787622/ILSVRC2012_val_00006855.JPEG,104
/home/projects/bagon/shared/imagenet512/val/n03125729/ILSVRC2012_val_00025177.JPEG,68
/home/projects/bagon/shared/imagenet512/val/n02883205/ILSVRC2012_val_00034967.JPEG,74
/home/projects/bagon/shared/imagenet512/val/n04040759/ILSVRC2012_val_00030262.JPEG,133
/home/projects/bagon/shared/imagenet512/val/n01776313/ILSVRC2012_val_00030916.JPEG,67
/home/projects/bagon/shared/imagenet512/val/n01855672/ILSVRC2012_val_00013794.JPEG,75
/home/projects/bagon/shared/imagenet512/val/n03476991/ILSVRC2012_val_00026637.JPEG,88
/home/projects/bagon/shared/imagenet512/val/n03445924/ILSVRC2012_val_00016950.JPEG,61
/home/projects/bagon/shared/imagenet512/val/n02403003/ILSVRC2012_val_00041005.JPEG,115
/home/projects/bagon/shared/imagenet512/val/n02088094/ILSVRC2012_val_00029056.JPEG,89
/home/projects/bagon/shared/imagenet512/val/n02910353/ILSVRC2012_val_00041443.JPEG,67
/home/projects/bagon/shared/imagenet512/val/n04355338/ILSVRC2012_val_00038284.JPEG,38
/home/projects/bagon/shared/imagenet512/val/n02483708/ILSVRC2012_val_00047151.JPEG,53
/home/projects/bagon/shared/imagenet512/val/n02408429/ILSVRC2012_val_00005951.JPEG,125
/home/projects/bagon/shared/imagenet512/val/n04162706/ILSVRC2012_val_00021842.JPEG,98
/home/projects/bagon/shared/imagenet512/val/n01883070/ILSVRC2012_val_00014458.JPEG,45
/home/projects/bagon/shared/imagenet512/val/n04179913/ILSVRC2012_val_00039853.JPEG,77
/home/projects/bagon/shared/imagenet512/val/n02105162/ILSVRC2012_val_00035189.JPEG,69
/home/projects/bagon/shared/imagenet512/val/n04136333/ILSVRC2012_val_00003658.JPEG,20
/home/projects/bagon/shared/imagenet512/val/n01616318/ILSVRC2012_val_00032832.JPEG,84
/home/projects/bagon/shared/imagenet512/val/n02965783/ILSVRC2012_val_00044106.JPEG,117
/home/projects/bagon/shared/imagenet512/val/n04550184/ILSVRC2012_val_00018773.JPEG,122
/home/projects/bagon/shared/imagenet512/val/n02089867/ILSVRC2012_val_00013818.JPEG,53
/home/projects/bagon/shared/imagenet512/val/n03776460/ILSVRC2012_val_00023455.JPEG,53
