example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,universal_difficulty_rank
862,/home/projects/bagon/shared/imagenet512/val/n03124170/ILSVRC2012_val_00040779.JPEG,374,55.984636306762695,0.0009984970092773438,0.0925743527814553,44018
26,/home/projects/bagon/shared/imagenet512/val/n07892512/ILSVRC2012_val_00035226.JPEG,324,57.84573459625244,0.00099945068359375,0.08165343483008003,31128
863,/home/projects/bagon/shared/imagenet512/val/n03763968/ILSVRC2012_val_00020898.JPEG,309,79.85372066497803,0.0009946823120117188,0.09664899317380439,44022
864,/home/projects/bagon/shared/imagenet512/val/n02669723/ILSVRC2012_val_00016186.JPEG,138,28.18516731262207,0.0009918212890625,0.07538300885361923,44024
27,/home/projects/bagon/shared/imagenet512/val/n09428293/ILSVRC2012_val_00002495.JPEG,704,35.58742046356201,0.0009965896606445312,0.12163580926366663,31383
865,/home/projects/bagon/shared/imagenet512/val/n03710721/ILSVRC2012_val_00020057.JPEG,528,46.23731231689453,0.000995635986328125,0.11210047962814465,44025
28,/home/projects/bagon/shared/imagenet512/val/n04127249/ILSVRC2012_val_00030687.JPEG,253,24.563416481018066,0.0009918212890625,0.08501587907406274,31429
866,/home/projects/bagon/shared/imagenet512/val/n10565667/ILSVRC2012_val_00022622.JPEG,302,119.11171245574951,0.00099945068359375,0.08722713567998565,44030
29,/home/projects/bagon/shared/imagenet512/val/n04019541/ILSVRC2012_val_00024506.JPEG,347,74.35120105743408,0.0009784698486328125,0.05574807576746451,31441
867,/home/projects/bagon/shared/imagenet512/val/n02483362/ILSVRC2012_val_00048939.JPEG,577,100.8407678604126,0.00099945068359375,0.11654896321542742,44043
30,/home/projects/bagon/shared/imagenet512/val/n02974003/ILSVRC2012_val_00022999.JPEG,391,27.235051155090332,0.00099945068359375,0.07967753809473635,31668
868,/home/projects/bagon/shared/imagenet512/val/n03485407/ILSVRC2012_val_00040501.JPEG,275,96.48986911773682,0.0009975433349609375,0.09936351762847523,44061
31,/home/projects/bagon/shared/imagenet512/val/n02101556/ILSVRC2012_val_00023735.JPEG,303,25.603947639465332,0.0009984970092773438,0.07334547472243727,31791
32,/home/projects/bagon/shared/imagenet512/val/n13052670/ILSVRC2012_val_00040793.JPEG,191,10.387700080871582,0.0009918212890625,0.06804193505185993,31847
869,/home/projects/bagon/shared/imagenet512/val/n03595614/ILSVRC2012_val_00000282.JPEG,445,369.6977548599243,0.0009965896606445312,0.10948172167656152,44070
33,/home/projects/bagon/shared/imagenet512/val/n02978881/ILSVRC2012_val_00038135.JPEG,119,7.436005592346191,0.0009975433349609375,0.04377737676952122,31874
870,/home/projects/bagon/shared/imagenet512/val/n01914609/ILSVRC2012_val_00022969.JPEG,364,14.331995964050293,0.0009984970092773438,0.10644020158392631,44082
871,/home/projects/bagon/shared/imagenet512/val/n02109525/ILSVRC2012_val_00045060.JPEG,297,91.8326244354248,0.00099945068359375,0.09933430745990122,44088
34,/home/projects/bagon/shared/imagenet512/val/n02105855/ILSVRC2012_val_00044406.JPEG,636,48.64294147491455,0.0009927749633789062,0.12774724275279065,31919
872,/home/projects/bagon/shared/imagenet512/val/n03476684/ILSVRC2012_val_00008548.JPEG,233,78.79338550567627,0.000995635986328125,0.0858850461026942,44094
873,/home/projects/bagon/shared/imagenet512/val/n03908714/ILSVRC2012_val_00046578.JPEG,150,431.62633323669434,0.0009765625,0.09699868446903755,44107
874,/home/projects/bagon/shared/imagenet512/val/n04579432/ILSVRC2012_val_00031012.JPEG,180,35.603464126586914,0.0009870529174804688,0.059129852091179144,44109
