rank,num_true,num_models,acc_percent,image_path
3201,881,1023,86.119,3201_acc86.1_fa844d61a1be42e.png
11889,65,1023,6.354,11889_acc6.4_88ce0d28b61746f.png
8450,283,1023,27.664,8450_acc27.7_3e42d10cc892410.png
8909,239,1023,23.363,8909_acc23.4_0b957583b090490.png
6688,480,1023,46.921,6688_acc46.9_da6d3af434fa4cf.png
820,1013,1023,99.022,820_acc99.0_17372e0bf1bf4b4.png
12596,44,1023,4.301,12596_acc4.3_45b787cd4eb1457.png
10217,142,1023,13.881,10217_acc13.9_a90ff03d9ca847b.png
7628,367,1023,35.875,7628_acc35.9_c177d7743dce482.png
9896,161,1023,15.738,9896_acc15.7_65865d97e1ab444.png
5237,655,1023,64.027,5237_acc64.0_bcd46666165141a.png
4280,770,1023,75.269,4280_acc75.3_cf1e2d4d06e5400.png
12777,39,1023,3.812,12777_acc3.8_026404070603493.png
2988,899,1023,87.879,2988_acc87.9_98f53e2ce2d4459.png
7802,348,1023,34.018,7802_acc34.0_d378c8b18c8e491.png
4518,743,1023,72.630,4518_acc72.6_38e9dee676ff4df.png
10561,121,1023,11.828,10561_acc11.8_f095dfb9990744f.png
3890,811,1023,79.277,3890_acc79.3_d2cb9700f27e4e7.png
15538,3,1023,0.293,15538_acc0.3_46d9c2cea9c146c.png
1819,974,1023,95.210,1819_acc95.2_4902c5f20f6045c.png
11407,83,1023,8.113,11407_acc8.1_180e359e732049e.png
13555,24,1023,2.346,13555_acc2.3_b33482c1103b433.png
11486,80,1023,7.820,11486_acc7.8_73ff2ac321bb41a.png
11652,73,1023,7.136,11652_acc7.1_faba4c63cbf74fa.png
7983,329,1023,32.160,7983_acc32.2_44c7423b37a8419.png
11298,87,1023,8.504,11298_acc8.5_d2a3bfc405b0476.png
12181,56,1023,5.474,12181_acc5.5_a9b1e03cc9a9497.png
8369,291,1023,28.446,8369_acc28.4_0a8a9edb0b27400.png
77,1023,1023,100.000,77_acc100.0_461c5cb7580146e.png
14763,8,1023,0.782,14763_acc0.8_84805f9ab60e436.png
7374,398,1023,38.905,7374_acc38.9_a09b90fc07bd46f.png
11896,65,1023,6.354,11896_acc6.4_9d9c3aa1c5ae443.png
